name,name_id,edu_type,university,university_id,qualification,award_date
Liz Cranmer,766754,Education,Fordham University,60696,BA,
Sara Cutts,766755,Education,Old Dominion University,79828,BSBA,1999-01-01
Steven Bergerson,766756,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Steven Bergerson,766756,Education,Clarkson University,60383,BS,
Doctor John Tamerius,766758,Education,University of Washington,62785,PhD,1976-01-01
Doctor John Tamerius,766758,Education,University of Washington,62785,MS,
Doctor John Tamerius,766758,Education,University of Washington,62785,BS,
Tom Shilen Jr,766759,Professional Qualifications,Florida Institute of Certified Public Accountants (FICPA),128552,Certified Public Accountant,
Tom Shilen Jr,766759,Professional Qualifications,New York State Society of Certified Public Accountants (NYSSCPA),54786,Certified Public Accountant,
Tom Shilen Jr,766759,Education,University of Ntre Dame,62544,BBA,1981-01-01
Micheline Chau,766764,Education,Stanford University,61935,MBA,
Micheline Chau,766764,Education,Wellesley College,62904,Bachelor's Degree,
The Rt. Hon. Lord Mandy Mandelson,766768,Education,St Catherine's College Oxford University,65390,Studied,1976-01-01
Dan Olmsted,766773,Professional Qualifications,American Institute for Chartered Property Casualty Underwriters (AICPCU),44574,CPCU,
Dan Olmsted,766773,Education,College of Insurance,44576,MBA,1987-01-01
Dan Olmsted,766773,Education,Fordham University,60696,JD,1990-01-01
Dan Olmsted,766773,Education,St John's University,61913,BA,
Dan Olmsted,766773,Education,Wharton School University of Pennsylvania,64966,Advanced Management Program,
Jeff Berzina,766777,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jeff Berzina,766777,Education,University of South Dakota,83247,Graduated,
Todd Mackintosh,766779,Education,University of Colorado Boulder,62260,BA,1982-01-01
Todd Mackintosh,766779,Education,University of Denver College of Law,77283,JD,1989-01-01
Todd Mackintosh,766779,Education,Trinity University San Antonio Texas,109566,Degree,1979-01-01
Todd Mackintosh,766779,Education,University of Chambery,817089,Studied,1980-01-01
Baron Barry,766781,Education,Drexel University's LeBow College of Business,1360417,BS,1988-01-01
Steve Morriss,766785,Education,University of Bristol,64921,BE (Hons),
Mark Campbell,766786,Education,Oxford University,61561,MA,1984-01-01
